landsat_id,landsat_date,landsat_cloud_pct,s2_id,s2_date,s2_cloud_pct,delta_days,abs_delta_days
1_LC08_192023_20240513,2024-05-13,0.04,20240515T101559_20240515T101556_T32UQD,2024-05-15,0.003563,-2,2
1_LC08_192023_20240529,2024-05-29,42.49,20240530T102021_20240530T102143_T32UQD,2024-05-30,99.853349,-1,1
1_LC08_192023_20240614,2024-06-14,100.0,20240614T101559_20240614T101858_T32UQD,2024-06-14,99.590248,0,0
1_LC08_192023_20240630,2024-06-30,63.25,20240629T102021_20240629T102556_T32UQD,2024-06-29,17.150073,1,1
1_LC08_192023_20240801,2024-08-01,3.54,20240731T100559_20240731T101303_T32UQD,2024-07-31,90.102315,1,1
1_LC08_192023_20240817,2024-08-17,58.31,20240818T102021_20240818T102546_T32UQD,2024-08-18,99.9991,-1,1
1_LC08_192023_20240902,2024-09-02,9.22,20240902T101559_20240902T101644_T32UQD,2024-09-02,15.256864,0,0
1_LC08_192023_20240918,2024-09-18,19.2,20240917T101651_20240917T101846_T32UQD,2024-09-17,1.409713,1,1
1_LC08_192023_20241004,2024-10-04,88.15,20241004T100851_20241004T101554_T32UQD,2024-10-04,80.22294,0,0
1_LC08_192023_20241020,2024-10-20,86.01,20241019T100939_20241019T100938_T32UQD,2024-10-19,92.244899,1,1
1_LC08_192023_20250124,2025-01-24,22.09,20250125T102341_20250125T102343_T32UQD,2025-01-25,99.848217,-1,1
1_LC08_192023_20250209,2025-02-09,32.51,20250209T102059_20250209T102541_T32UQD,2025-02-09,4.314525,0,0
1_LC08_192023_20250313,2025-03-13,93.6,20250313T100831_20250313T101533_T32UQD,2025-03-13,99.999976,0,0
1_LC08_192023_20250329,2025-03-29,59.07,20250328T100559_20250328T101514_T32UQD,2025-03-28,0.600434,1,1
1_LC08_192023_20250414,2025-04-14,26.29,20250414T100701_20250414T100921_T32UQD,2025-04-14,45.545548,0,0
1_LC08_192023_20250430,2025-04-30,11.34,20250430T101559_20250430T102505_T32UQD,2025-04-30,71.153754,0,0
1_LC08_192023_20250516,2025-05-16,66.06,20250515T101611_20250515T102316_T32UQD,2025-05-15,71.156657,1,1
1_LC08_192023_20250601,2025-06-01,90.19,20250601T101041_20250601T101413_T32UQD,2025-06-01,92.262363,0,0
1_LC08_192023_20250617,2025-06-17,16.32,20250616T100559_20250616T101212_T32UQD,2025-06-16,89.934456,1,1
1_LC08_192023_20250719,2025-07-19,19.11,20250719T101559_20250719T101601_T32UQD,2025-07-19,33.772793,0,0
1_LC08_192023_20250820,2025-08-20,49.17,20250820T101041_20250820T101043_T32UQD,2025-08-20,54.515821,0,0
1_LC08_192023_20250905,2025-09-05,73.37,20250904T100549_20250904T101540_T32UQD,2025-09-04,76.567453,1,1
1_LC08_192023_20250921,2025-09-21,36.54,20250921T100731_20250921T100732_T32UQD,2025-09-21,62.288713,0,0
1_LC08_192024_20170510,2017-05-10,87.34,20170507T102031_20170507T102319_T32UQD,2017-05-07,39.3476,3,3
1_LC08_192024_20170526,2017-05-26,45.91,20170527T102031_20170527T102301_T32UQD,2017-05-27,0.012276,-1,1
1_LC08_192024_20170611,2017-06-11,9.3,20170613T101031_20170613T101025_T32UQD,2017-06-13,100.0,-2,2
1_LC08_192024_20170627,2017-06-27,91.97,20170626T102021_20170626T102321_T32UQD,2017-06-26,41.8463,1,1
1_LC08_192024_20170713,2017-07-13,79.91,20170713T101031_20170713T101119_T32UQD,2017-07-13,78.2025,0,0
1_LC08_192024_20170729,2017-07-29,47.79,20170726T102021_20170726T102259_T33UUT,2017-07-26,100.0,3,3
1_LC08_192024_20170814,2017-08-14,23.84,20170815T102021_20170815T102513_T32UQD,2017-08-15,13.9676,-1,1
1_LC08_192024_20170830,2017-08-30,0.03,20170830T102019_20170830T102531_T33UVT,2017-08-30,0.034358,0,0
1_LC08_192024_20170915,2017-09-15,79.3,20170914T102021_20170914T102020_T32UQD,2017-09-14,93.2701,1,1
1_LC08_192024_20171001,2017-10-01,58.91,20171001T101021_20171001T101350_T32UQD,2017-10-01,100.0,0,0
1_LC08_192024_20171017,2017-10-17,0.05,20171016T101009_20171016T101010_T32UQD,2017-10-16,0.000528,1,1
1_LC08_192024_20171118,2017-11-18,90.82,20171120T101321_20171120T101320_T32UQD,2017-11-20,53.5925,-2,2
1_LC08_192024_20180105,2018-01-05,77.86,20180104T101409_20180104T101403_T32UQD,2018-01-04,65.813,1,1
1_LC08_192024_20180121,2018-01-21,92.18,20180122T102321_20180122T102323_T32UQD,2018-01-22,92.7996,-1,1
1_LC08_192024_20180206,2018-02-06,5.82,20180206T102209_20180206T102206_T32UQD,2018-02-06,6.0068,0,0
1_LC08_192024_20180222,2018-02-22,2.25,20180221T102031_20180221T102033_T32UQD,2018-02-21,95.856,1,1
1_LC08_192024_20180411,2018-04-11,33.5,20180412T102021_20180412T102024_T32UQD,2018-04-12,99.036756,-1,1
1_LC08_192024_20180427,2018-04-27,41.35,20180427T102019_20180427T102022_T32UQD,2018-04-27,20.758316,0,0
1_LC08_192024_20180513,2018-05-13,0.76,20180512T102031_20180512T102148_T32UQD,2018-05-12,51.008669,1,1
1_LC08_192024_20180529,2018-05-29,2.18,20180529T101031_20180529T101225_T32UQD,2018-05-29,0.000924,0,0
